MSD;Self_diff;Lindemann;Spec_heat;Int_T;Int_P;E_coh
0.01120782992789625;0.0001026358052005151;0.04223548518723875;0.015414244004592537;155.73440737711203;1.0048558592712352e-06;0.019516287227206903
0.013713280616733818;0.00012029193523450719;0.04755822350408602;0.008780967431971287;142.09094848183;9.673750367465963e-07;0.01781106255092087
0.01645188581152552;0.0001398969881932442;0.05312885996732557;0.02355412391001852;160.8865259398863;7.60882942205656e-07;0.020197489931003464
0.014746778503362912;0.00012539777638914042;0.04958185576256137;0.010593409045489742;145.69242451045096;1.4833971447816148e-06;0.018319962488331384
0.009924488312689682;9.088359260704837e-05;0.03976772121443423;0.016534987581461238;152.42043981523614;4.530503635457247e-07;0.01917633147853683
0.011471380070976901;0.0001039074281791386;0.042872586887480336;0.0339325780068868;152.5795070771402;4.2435339016827683e-07;0.019167495858933105
0.010695990686341441;9.188995435001239e-05;0.04262036906372296;0.10720148178160425;149.73082296758545;-2.071084840531056e-06;0.01877223249508899
0.01200347921674941;0.00011908213508679969;0.04450459555695061;0.01598273573547072;152.08655994722884;4.2738830437889854e-07;0.01906267903946012
0.014413592658693238;0.00014828799031577406;0.0493306525771059;0.015445603177566155;155.2805249799399;-4.375914049872259e-07;0.01956412566402158
0.01699180357734543;0.00014448812565769924;0.053163057450160076;0.06631651874916815;153.22641837375556;3.3612358382605305e-07;0.019241767013511938
