Time;MSD;S
1;0.0006804735581987238;0.0011341225969978728
2;0.0026782589515324745;0.002231882459610395
3;0.005904502355167037;0.00328027908620391
4;0.010217928696819357;0.004257470290341398
5;0.015413858386607818;0.0051379527955359395
6;0.021242445031006814;0.005900679175279671
7;0.027453876152659575;0.006536637179204662
8;0.03384145303807138;0.00705030271626487
9;0.04023538963739519;0.007450998080999109
10;0.046469130509686776;0.007744855084947796
11;0.0524029433775243;0.0079398399056855
12;0.057960526120969545;0.008050073072356882
13;0.06309877477122283;0.008089586509131132
14;0.06777591260212282;0.008068561024062242
15;0.0719409670640317;0.007993440784892412
16;0.07552604202056865;0.007867296043809233
17;0.07845700692815538;0.007691863424328959
18;0.08067638019577172;0.007470035203312196
19;0.0821660663423375;0.007207549679152414
20;0.0829655241498931;0.006913793679157758
21;0.08316912540455741;0.006600724238456937
22;0.08290176731273152;0.006280436917631175
23;0.08229622449188952;0.005963494528397791
24;0.08147937002737865;0.005658289585234629
25;0.08055717391286618;0.005370478260857746
26;0.07960764412736245;0.0051030541107283615
27;0.07869776227948642;0.004857886560462124
28;0.07790767395877041;0.004637361545164906
29;0.07733245325292154;0.004444393865110433
30;0.07706009385795198;0.004281116325441777
31;0.07713844224528595;0.004147228077703545
32;0.07754396337954453;0.00403874809268461
33;0.07817876092194294;0.003948422268784998
34;0.07889892418324967;0.0038675943227083178
35;0.07955787780619263;0.0037884703717234584
36;0.08005420064413718;0.0037062129927841283
37;0.08035476733179225;0.0036195841140446955
38;0.08047584950611199;0.0035296425221978947
39;0.0804419439822531;0.0034376899137715
40;0.08025733251488765;0.003344055521453652
41;0.07991728486796412;0.003248670116583908
42;0.07944688238841507;0.003152654063032344
43;0.07892231466680975;0.003059004444449991
44;0.07844986909410628;0.002971585950534329
45;0.07812365104204319;0.0028934685571127107
46;0.07798926349882934;0.002825697952856136
47;0.07802477128524188;0.0027668358611787898
48;0.07814644747811458;0.0027134183152123124
49;0.07823991698382989;0.0026612216661166628
50;0.07820571788884476;0.0026068572629614917
51;0.0780033632886453;0.0025491295192367745
52;0.07764956775921525;0.002488768197410745
53;0.0771615835573128;0.0024264648917393964
54;0.07651996147779369;0.002361727206104743
55;0.0756831716517934;0.0022934294439937394
56;0.07462773634022915;0.0022210635815544393
57;0.07337968915414671;0.0021456049460276813
58;0.0720167636535228;0.0020694472314230694
59;0.07064874945824279;0.001995727385826067
60;0.06939278615689815;0.0019275773932471707
61;0.06834290778728888;0.001867292562494232
62;0.06753217791265155;0.0018153811266841814
63;0.06691647680584381;0.0017702771641757624
64;0.06641797923039204;0.0017296348757914592
65;0.06598878763397852;0.0016920201957430388
66;0.0656138595191795;0.001656915644423725
67;0.06527960730898144;0.0016238708285816277
68;0.0649670397697343;0.0015923294061209387
69;0.06466377236408105;0.0015619268686976097
70;0.0643726160487852;0.001532681334494886
71;0.06411713903891841;0.001505097160537991
72;0.06394878492576216;0.0014802959473556054
73;0.06394465097746199;0.001459923538298219
74;0.06418958014330854;0.0014457112644889309
75;0.06475588396992;0.001439019643776
76;0.0656859643550124;0.0014404816744520263
77;0.06697374854059548;0.001449648236809426
78;0.06855682988078027;0.0014648895273671
79;0.07033045144542223;0.0014837647984266291
